trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-179.7012438961813,"{0: 9, 1: 0, 2: 7, 3: 2, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-264.1868963981703,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 5}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-130.07215169302157,"{0: 15, 1: 0, 2: 7, 3: 2, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-108.44169792515072,"{0: 16, 1: 0, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-71.33802535034312,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-173.17927452225442,"{0: 13, 1: 0, 2: 7, 3: 4, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",35,0,-374.4326031073993,"{0: 16, 1: 0, 2: 11, 3: 2, 4: 6}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",35,11,-72.32046330928998,"{0: 19, 1: 0, 2: 3, 3: 1, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-54.753163299412094,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-149.483065484441,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-146.92611430073575,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,2,-68.61888661936062,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,4,-74.34273261402362,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",25,0,-168.24357613240304,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,4,-41.010832735228234,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 1}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-31.071684310829866,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,9,-14.742428687876686,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,2,-95.66438195918509,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,-51.68609699137705,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,3,-62.29902517954227,"{0: 22, 1: 1, 2: 1, 3: 2, 4: 1}",1
1,True,"{'a': 0, 'e': 0}",30,0,-35.830651176199694,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 1}",0
2,True,"{'a': 0, 'e': 0}",25,15,10.624426012535618,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,-98.87889486436733,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",25,2,-132.9960632282811,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 3}",1
5,True,"{'a': 0, 'e': 0}",25,7,-61.11802859060481,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,9,-59.37521712222142,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
7,True,"{'a': 0, 'e': 0}",20,14,7.940157495466137,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",20,8,-61.702058058927406,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",20,10,-23.49563227279849,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,12,5.516309546014576,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
