trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9930244429332351}",20,0,-154.96979254944029,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9860975442628619}",25,8,-67.66531053100057,"{0: 13, 1: 1, 2: 0, 3: 2, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.9792189645694596}",20,0,-179.52712765379644,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.9723883668012469}",20,0,-49.92853992803517,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.9656054162575665}",20,0,-76.07059034859348,"{0: 12, 1: 0, 2: 7, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.9588697805724845}",20,0,-84.77889895741482,"{0: 11, 1: 5, 2: 3, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.9521811296985049}",20,0,-53.06398191302122,"{0: 14, 1: 5, 2: 0, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9455391358903963}",25,0,-91.67500839592839,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.9389434736891332}",30,0,-168.2305078459341,"{0: 17, 1: 3, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9323938199059483}",25,0,-123.80840680515955,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.9258898536064953}",20,0,-147.15557959909546,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.9194312560951247}",25,8,-99.84250612650645,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9130177108992658}",20,0,-269.86221240916944,"{0: 11, 1: 0, 2: 0, 3: 4, 4: 5}",0
14,False,"{'a': 0.5, 'e': 0.9066489037539209}",20,0,-127.69678695245113,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9003245225862656}",25,0,-73.77239923472405,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8940442575003572}",25,2,-88.5547491606909,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.8878078007619501}",25,0,-110.9313669095085,"{0: 18, 1: 0, 2: 5, 3: 0, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.8816148467834161}",20,6,-117.26602861732506,"{0: 7, 1: 0, 2: 5, 3: 0, 4: 2}",1
19,False,"{'a': 0.5, 'e': 0.8754650921087711}",20,2,-52.46862549592625,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.8693582353988059}",20,0,-37.59780838149121,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.8632939774163194}",20,0,-106.77243955322643,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8572720210114575}",20,9,-35.04713336028836,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.8512920711071511}",20,0,-52.839991991996,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.8453538346846587}",20,0,-63.6546415691182,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8394570207692074}",20,4,-84.61301946241343,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
26,False,"{'a': 0.5, 'e': 0.8336013404157353}",30,0,-102.08839698549737,"{0: 19, 1: 5, 2: 4, 3: 1, 4: 1}",0
