trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-208.8312092866094,"{0: 10, 1: 2, 2: 3, 3: 1, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,12,-33.53968578664146,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-138.26912183988526,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",25,0,-133.45094920772297,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-152.42157086239035,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-96.08194077310326,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-148.13194972246225,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-190.98037028201477,"{0: 11, 1: 7, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-41.252754742176776,"{0: 18, 1: 3, 2: 3, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-57.01589868386463,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-119.50032537237325,"{0: 11, 1: 3, 2: 10, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,7,-41.15528081560762,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-32.54628254606728,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-127.4149441767425,"{0: 7, 1: 5, 2: 7, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-117.19763043731233,"{0: 13, 1: 1, 2: 9, 3: 2, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,-82.84826329788612,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-245.86304313368,"{0: 13, 1: 2, 2: 3, 3: 3, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-182.30251913113133,"{0: 9, 1: 1, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-148.38899201198936,"{0: 9, 1: 4, 2: 4, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-164.78659228733432,"{0: 11, 1: 1, 2: 3, 3: 3, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",25,0,-243.391191859851,"{0: 9, 1: 2, 2: 10, 3: 1, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-116.1351244034101,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,-73.2938747313967,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",35,0,-214.15169569179042,"{0: 18, 1: 4, 2: 9, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,3,-124.71642674702632,"{0: 11, 1: 2, 2: 7, 3: 1, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",20,0,-163.891001630833,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",30,0,-312.71454869413054,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 5}",0
8,True,"{'a': 0, 'e': 0}",25,2,-143.33235292761668,"{0: 13, 1: 2, 2: 5, 3: 1, 4: 2}",1
9,True,"{'a': 0, 'e': 0}",25,7,-41.64535163204761,"{0: 10, 1: 5, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,-92.22223856708007,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
